CODGEO;NBMENFISC20;NBPERSMENFISC20;MED20;PIMP20;TP6020;TP60AGE120;TP60AGE220;TP60AGE320;TP60AGE420;TP60AGE520;TP60AGE620;TP60TOL120;TP60TOL220;PACT20;PTSA20;PCHO20;PBEN20;PPEN20;PPAT20;PPSOC20;PPFAM20;PPMINI20;PPLOGT20;PIMPOT20;D120;D920;RD20
01001;331;842;24820;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01002;116;264;23220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01004;6882;15358;21070;48,0;17,0;24,0;22,0;18,0;16,0;11,0;s;5,0;27,0;72,2;65,4;3,5;3,3;26,1;8,0;8,2;2,9;3,6;1,7;-14,5;11490;35550;3,1
01005;767;1939;24380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01006;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01007;1192;2888;24330;57,0;7,0;s;s;s;s;s;s;s;s;76,1;70,8;2,6;2,7;26,3;7,2;4,8;2,3;1,7;0,8;-14,4;14430;37340;2,6
01008;331;787;26120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01009;152;357;24410;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01010;468;1106;24700;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01011;157;404;24690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01012;145;325;22300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01013;72;137;22190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01014;1375;3523;21670;49,0;10,0;s;s;s;s;s;s;s;22,0;68,6;63,2;3,7;1,7;29,7;11,0;5,3;2,4;2,0;0,9;-14,6;13210;37340;2,8
01015;302;710;22960;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01016;183;490;22280;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01017;194;417;20950;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01019;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01021;553;1404;25400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01022;571;1172;20990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01023;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01024;1331;3272;23420;57,0;s;s;s;s;s;s;s;s;s;74,5;68,3;2,2;4,0;25,7;10,6;4,4;2,2;1,5;0,7;-15,2;14890;36100;2,4
01025;1610;4195;23880;52,0;6,0;s;s;s;s;s;s;s;s;77,3;69,9;2,2;5,2;23,2;9,5;4,5;2,4;1,5;0,6;-14,5;15100;36710;2,4
01026;426;903;22100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01027;724;1995;24870;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
