CODGEO,arrival_time_num
75101,64880.0
75102,33608.0
75103,26853.0
75104,49709.0
75105,61379.0
75106,82133.0
75107,94245.0
75108,124722.0
75109,85982.0
75110,104545.0
75111,77872.0
75112,140548.0
75113,141851.0
75114,123538.0
75115,153359.0
75116,137586.0
75117,115479.0
75118,125685.0
75119,105808.0
75120,89611.0
77001,54.0
77002,35.0
77003,30.0
77004,27.0
77005,489.0
77006,72.0
77007,38.0
77008,39.0
77009,14.0
77010,124.0
77011,10.0
77012,27.0
77014,6503.0
77015,27.0
77016,548.0
77018,3603.0
77019,30.0
77020,10.0
77021,10.0
77022,172.0
77023,22.0
77024,62.0
77025,31.0
77026,40.0
77027,42.0
77029,21.0
77030,60.0
77031,77.0
77032,39.0
77033,10.0
77034,20.0
77035,20.0
77036,6.0
77037,768.0
77038,75.0
77039,121.0
77040,615.0
77041,55.0
77042,233.0
77043,85.0
77044,26.0
77045,30.0
77046,20.0
77047,181.0
77048,571.0
77049,178.0
77050,36.0
77051,155.0
77052,26.0
77053,5269.0
77054,51.0
77055,1891.0
77056,18.0
77057,33.0
77058,4886.0
77059,939.0
77060,72.0
77061,350.0
77062,19.0
77063,39.0
77065,147.0
77066,7.0
77067,5259.0
77068,11.0
77069,121.0
77070,157.0
77071,55.0
77072,30.0
77073,16.0
77075,368.0
77076,124.0
77077,22.0
77078,275.0
77079,983.0
77080,11.0
77081,29.0
77082,27.0
77083,14840.0
77084,269.0
77085,2340.0
77086,146.0
77087,11.0
77088,225.0
77089,57.0
77090,10.0
77091,19.0
77093,34.0
77094,54.0
77095,146.0
77096,615.0
77097,12.0
77098,15.0
77099,504.0
77100,472.0
77101,33.0
77102,10.0
77103,134.0
77104,96.0
77106,81.0
77107,232.0
77108,35111.0
77109,174.0
77110,20.0
77111,6452.0
77112,30.0
77113,20.0
77114,311.0
77115,31.0
77116,52.0
77117,117.0
77118,5385.0
77119,16.0
77120,12.0
77121,1190.0
77122,7412.0
77123,1649.0
77124,767.0
77125,502.0
77126,412.0
77127,137.0
77128,322.0
77129,8.0
77130,69.0
77131,5995.0
77132,3360.0
77133,21.0
77134,6.0
77135,129.0
77136,19.0
77137,15.0
77138,48.0
77139,2762.0
77140,17.0
77141,747.0
77142,1642.0
77143,878.0
77144,45.0
77145,71.0
