CODGEO,stop_id
75101,127
75102,82
75103,78
75104,118
75105,148
75106,163
75107,219
75108,263
75109,208
75110,215
75111,250
75112,432
75113,382
75114,302
75115,459
75116,474
75117,312
75118,352
75119,314
75120,288
77001,10
77002,13
77003,6
77004,4
77005,32
77006,14
77007,6
77008,9
77009,4
77010,29
77011,2
77012,12
77014,95
77015,3
77016,31
77018,39
77019,3
77020,6
77021,3
77022,19
77023,3
77024,13
77025,3
77026,15
77027,15
77029,5
77030,5
77031,13
77032,11
77033,6
77034,2
77035,6
77036,2
77037,49
77038,9
77039,15
77040,33
77041,9
77042,24
77043,9
77044,3
77045,15
77046,4
77047,27
77048,20
77049,15
77050,8
77051,11
77052,3
77053,102
77054,13
77055,24
77056,5
77057,9
77058,90
77059,22
77060,15
77061,23
77062,4
77063,8
77065,15
77066,4
77067,72
77068,3
77069,14
77070,16
77071,13
77072,13
77073,2
77075,14
77076,10
77077,3
77078,34
77079,30
77080,3
77081,3
77082,3
77083,115
77084,15
77085,28
77086,6
77087,3
77088,23
77089,9
77090,3
77091,4
77093,12
77094,3
77095,7
77096,50
77097,6
77098,4
77099,47
77100,24
77101,8
77102,3
77103,9
77104,17
77106,12
77107,16
77108,260
77109,22
77110,13
77111,48
77112,9
77113,6
77114,14
77115,10
77116,20
77117,14
77118,63
77119,3
77120,5
77121,28
77122,127
77123,32
77124,15
77125,15
77126,12
77127,14
77128,11
77129,5
77130,8
77131,105
77132,52
77133,3
77134,2
77135,26
77136,2
77137,2
77138,4
77139,44
77140,5
77141,15
77142,39
77143,20
77144,8
77145,10
77146,48
77147,10
77148,25
77150,4
77151,10
77152,117
77153,66
77154,6
77155,20
77156,12
77158,3
77159,14
77161,17
77162,26
77163,9
77164,9
77165,6
77167,4
77168,18
77169,51
77171,39
77172,13
77173,12
77174,5
77175,13
77176,18
77177,10
77178,13
77179,3
77180,17
77181,36
77182,18
77183,109
77184,3
77185,11
77186,97
77187,5
77188,16
77190,5
77191,10
77192,28
77193,3
77194,9
77195,3
77196,9
77197,3
77198,3
77199,12
77200,2
77201,6
77202,12
77203,15
77205,3
77206,15
77207,3
77208,14
77209,16
77210,32
77211,7
77212,2
77214,3
77215,60
77216,12
77217,10
77218,5
77219,49
77220,5
77221,12
77222,8
77223,9
77224,5
77225,3
77226,35
77227,12
77228,4
77229,33
77230,3
77231,12
77232,11
77233,3
77234,5
77235,5
77236,5
77237,14
77238,43
77239,17
77240,27
77241,18
77242,3
77243,125
77244,3
77245,25
77246,18
77247,6
77248,11
77249,44
77250,4
77251,106
77252,10
77253,2
77254,13
77255,16
77256,2
77257,36
77258,62
77259,20
77260,14
77261,17
77262,12
77263,5
77264,24
77265,8
77266,5
77267,9
77268,44
77269,6
77270,9
77271,3
77272,12
77273,6
77274,3
77275,9
77276,43
77277,13
77278,9
77279,11
77280,12
77281,8
77282,8
77283,17
77284,188
77285,72
77286,3
77287,6
77288,202
77289,6
77290,22
77291,49
77292,3
77293,5
77294,202
77295,4
77296,113
77297,2
77298,3
77300,3
77301,4
77302,19
77303,12
77305,131
77306,17
77307,57
77308,3
77309,14
77310,6
77311,6
77312,24
77313,4
77314,9
77315,22
77316,107
77317,28
77318,8
77319,5
77320,54
77321,8
77322,20
77323,8
77325,17
77326,37
77327,54
77328,12
77329,12
77330,40
77331,7
77332,7
77333,62
77335,25
77336,8
77337,66
77338,6
77339,21
77340,14
77341,8
77342,3
77343,10
77344,22
77345,6
77347,7
77348,6
77349,21
77350,122
77352,5
77353,6
77354,8
77355,3
77356,3
77357,8
77358,11
77359,16
77360,9
77361,8
77363,12
77364,5
77365,6
77366,3
77367,5
77368,14
77369,9
77370,18
77371,39
77372,29
77373,153
77374,8
77376,6
77377,23
77378,30
77379,103
77380,2
77381,14
77382,39
77383,16
77384,20
77385,19
77386,4
77387,5
77388,9
77389,34
77390,122
77391,11
77392,6
77393,28
77394,23
77395,2
77396,3
77397,16
77398,12
77400,29
77401,24
77402,12
77403,6
77404,7
77405,31
77406,18
77407,89
77408,4
77409,32
77410,6
77411,6
77412,6
77413,13
77414,6
77415,8
77416,12
77417,15
77418,9
77419,28
77420,34
77421,12
77423,13
77424,6
77425,14
77426,3
77427,5
77428,7
77429,8
77430,34
77431,95
77432,17
77433,44
77434,5
77435,16
77436,12
77437,21
77438,60
77439,19
77440,9
77441,38
77442,33
77443,7
77444,5
77445,144
77446,8
77447,23
77448,14
77449,48
77450,31
77451,2
77452,3
77453,8
77454,3
77455,18
77456,6
77457,6
77458,75
77459,8
77460,9
77461,2
77462,9
77463,13
77464,82
77465,9
77466,9
77467,6
77468,94
77469,9
77470,80
77471,4
77472,15
77473,9
77474,7
77475,25
77476,9
77477,5
77478,10
77479,61
77480,5
77481,8
77482,37
77483,10
77484,6
77485,4
77486,6
77487,90
77489,3
77490,9
77492,8
77493,16
77494,35
77495,57
77496,6
77498,6
77500,6
77501,12
77504,15
77505,7
77506,24
77507,10
77508,6
77509,6
77510,12
77511,11
77512,15
77513,34
77514,112
77515,3
77516,4
77517,23
77518,6
77519,10
77520,6
77521,15
77522,3
77523,3
77524,9
77525,3
77526,7
77527,9
77528,19
77529,17
77530,12
77531,13
77532,4
77533,38
77534,8
78003,37
78005,102
78006,9
78007,9
78009,12
78010,12
78013,6
78015,63
78020,9
78029,74
78030,37
78031,6
78033,3
78034,8
78036,6
78043,14
78048,32
78049,29
78050,7
78053,7
78057,21
78062,68
78068,12
78070,2
78071,14
78072,3
78073,65
78076,4
78077,24
78082,12
78084,6
78087,21
78089,63
